1fc00000:   24 08 00 01         ADDIU $t0, $zero, 0x0001
1fc00004:   24 09 00 02         ADDIU $t1, $zero, 0x0002
1fc00008:   21 10 00 02         ADDI $s0, $t0, 0x0002
1fc0000c:   24 12 00 03         ADDIU $s2, $zero, 0x0003
1fc00010:   16 12 09 04         BNE $s2, 0x0904
1fc00014:   00 00 00 00         NOP
1fc00018:   3c 08 01 51         LUI $t0, 0x0151
1fc0001c:   35 08 e5 c0         ORI $t0, $t0, 0xe5c0
1fc00020:   34 09 b9 45         ORI $t1, $zero, 0xb945
1fc00024:   21 10 b9 45         ADDI $s0, $t0, 0xb945
1fc00028:   3c 12 01 51         LUI $s2, 0x0151
1fc0002c:   36 52 9f 05         ORI $s2, $s2, 0x9f05
1fc00030:   16 12 08 fc         BNE $s2, 0x08fc
1fc00034:   00 00 00 00         NOP
1fc00038:   3c 08 64 82         LUI $t0, 0x6482
1fc0003c:   35 08 15 68         ORI $t0, $t0, 0x1568
1fc00040:   34 09 e4 23         ORI $t1, $zero, 0xe423
1fc00044:   21 10 e4 23         ADDI $s0, $t0, 0xe423
1fc00048:   3c 12 64 81         LUI $s2, 0x6481
1fc0004c:   36 52 f9 8b         ORI $s2, $s2, 0xf98b
1fc00050:   16 12 08 f4         BNE $s2, 0x08f4
1fc00054:   00 00 00 00         NOP
1fc00058:   3c 08 f4 87         LUI $t0, 0xf487
1fc0005c:   35 08 6a d2         ORI $t0, $t0, 0x6ad2
1fc00060:   34 09 bd 20         ORI $t1, $zero, 0xbd20
1fc00064:   21 10 bd 20         ADDI $s0, $t0, 0xbd20
1fc00068:   3c 12 f4 87         LUI $s2, 0xf487
1fc0006c:   36 52 27 f2         ORI $s2, $s2, 0x27f2
1fc00070:   16 12 08 ec         BNE $s2, 0x08ec
1fc00074:   00 00 00 00         NOP
1fc00078:   3c 08 1f ea         LUI $t0, 0x1fea
1fc0007c:   35 08 4d ca         ORI $t0, $t0, 0x4dca
1fc00080:   24 09 1b 08         ADDIU $t1, $zero, 0x1b08
1fc00084:   21 10 1b 08         ADDI $s0, $t0, 0x1b08
1fc00088:   3c 12 1f ea         LUI $s2, 0x1fea
1fc0008c:   36 52 68 d2         ORI $s2, $s2, 0x68d2
1fc00090:   16 12 08 e4         BNE $s2, 0x08e4
1fc00094:   00 00 00 00         NOP
1fc00098:   3c 08 a1 39         LUI $t0, 0xa139
1fc0009c:   35 08 a6 db         ORI $t0, $t0, 0xa6db
1fc000a0:   24 09 03 9c         ADDIU $t1, $zero, 0x039c
1fc000a4:   21 10 03 9c         ADDI $s0, $t0, 0x039c
1fc000a8:   3c 12 a1 39         LUI $s2, 0xa139
1fc000ac:   36 52 aa 77         ORI $s2, $s2, 0xaa77
1fc000b0:   16 12 08 dc         BNE $s2, 0x08dc
1fc000b4:   00 00 00 00         NOP
1fc000b8:   3c 08 45 57         LUI $t0, 0x4557
